Canton,Nationalité,"Classes d'âge 15-24, 25-49, 50 ans et plus",,Mois,Janvier 2017,Février 2017,Mars 2017,Avril 2017,Mai 2017,Juin 2017,Juillet 2017,Août 2017,Septembre 2017
Zurich,Etrangers,1,15-24 ans,,"1,194","1,185","1,147","1,009",936,904,"1,084","1,049","1,015"
Zurich,Etrangers,2,25-49 ans,,"11,108","10,856","10,587","10,011","9,702","9,470","9,201","8,893","8,846"
Zurich,Etrangers,3,50 ans et plus,,"2,758","2,746","2,648","2,552","2,459","2,350","2,261","2,209","2,250"
Zurich,Etrangers,Total,,,"15,060","14,787","14,382","13,572","13,097","12,724","12,546","12,151","12,111"
Zurich,Suisses,1,15-24 ans,,"2,606","2,438","2,282","2,094","1,962","1,887","2,246","2,451","2,405"
Zurich,Suisses,2,25-49 ans,,"9,721","9,481","9,251","9,019","8,785","8,602","8,581","8,407","8,207"
Zurich,Suisses,3,50 ans et plus,,"5,000","4,913","4,926","4,857","4,780","4,712","4,619","4,505","4,502"
Zurich,Suisses,Total,,,"17,327","16,832","16,459","15,970","15,527","15,201","15,446","15,363","15,114"
Zurich,Total,,,,"32,387","31,619","30,841","29,542","28,624","27,925","27,992","27,514","27,225"
Berne,Etrangers,1,15-24 ans,,624,631,602,555,510,490,516,605,597
Berne,Etrangers,2,25-49 ans,,"4,674","4,574","4,345","4,190","3,814","3,511","3,383","3,324","3,316"
Berne,Etrangers,3,50 ans et plus,,"1,372","1,357","1,311","1,259","1,170","1,064","1,012",984,987
Berne,Etrangers,Total,,,"6,670","6,562","6,258","6,004","5,494","5,065","4,911","4,913","4,900"
Berne,Suisses,1,15-24 ans,,"1,700","1,653","1,494","1,366","1,209","1,089","1,277","1,517","1,406"
Berne,Suisses,2,25-49 ans,,"5,380","5,311","5,161","4,917","4,760","4,591","4,591","4,543","4,457"
Berne,Suisses,3,50 ans et plus,,"3,204","3,212","3,122","3,035","2,934","2,845","2,854","2,856","2,895"
Berne,Suisses,Total,,,"10,284","10,176","9,777","9,318","8,903","8,525","8,722","8,916","8,758"
Berne,Total,,,,"16,954","16,738","16,035","15,322","14,397","13,590","13,633","13,829","13,658"
Lucerne,Etrangers,1,15-24 ans,,273,256,238,209,204,194,196,232,217
Lucerne,Etrangers,2,25-49 ans,,"1,481","1,385","1,310","1,286","1,187","1,120","1,077","1,052","1,053"
Lucerne,Etrangers,3,50 ans et plus,,467,453,421,394,369,342,318,322,323
Lucerne,Etrangers,Total,,,"2,221","2,094","1,969","1,889","1,760","1,656","1,591","1,606","1,593"
Lucerne,Suisses,1,15-24 ans,,539,525,452,421,380,356,402,507,447
Lucerne,Suisses,2,25-49 ans,,"1,410","1,353","1,272","1,200","1,146","1,114","1,126","1,145","1,106"
Lucerne,Suisses,3,50 ans et plus,,815,836,800,805,796,758,756,734,739
Lucerne,Suisses,Total,,,"2,764","2,714","2,524","2,426","2,322","2,228","2,284","2,386","2,292"
Lucerne,Total,,,,"4,985","4,808","4,493","4,315","4,082","3,884","3,875","3,992","3,885"
Uri,Etrangers,1,15-24 ans,,11,14,12,14,9,6,8,6,6
Uri,Etrangers,2,25-49 ans,,122,108,95,78,64,46,41,33,29
Uri,Etrangers,3,50 ans et plus,,42,39,41,43,31,23,20,18,18
Uri,Etrangers,Total,,,175,161,148,135,104,75,69,57,53
Uri,Suisses,1,15-24 ans,,30,29,26,23,18,12,8,12,9
Uri,Suisses,2,25-49 ans,,52,50,47,39,42,43,29,31,29
Uri,Suisses,3,50 ans et plus,,40,36,35,31,32,29,23,23,21
Uri,Suisses,Total,,,122,115,108,93,92,84,60,66,59
Uri,Total,,,,297,276,256,228,196,159,129,123,112
Schwyz,Etrangers,1,15-24 ans,,76,67,74,65,44,41,49,74,67
Schwyz,Etrangers,2,25-49 ans,,524,512,466,434,409,383,393,380,379
Schwyz,Etrangers,3,50 ans et plus,,235,230,232,211,198,201,188,177,171
Schwyz,Etrangers,Total,,,835,809,772,710,651,625,630,631,617
Schwyz,Suisses,1,15-24 ans,,120,121,100,88,69,73,76,112,118
Schwyz,Suisses,2,25-49 ans,,458,448,411,407,391,374,398,389,380
Schwyz,Suisses,3,50 ans et plus,,381,388,387,375,351,339,343,334,340
Schwyz,Suisses,Total,,,959,957,898,870,811,786,817,835,838
Schwyz,Total,,,,"1,794","1,766","1,670","1,580","1,462","1,411","1,447","1,466","1,455"
Obwald,Etrangers,1,15-24 ans,,13,15,13,13,9,12,8,5,4
Obwald,Etrangers,2,25-49 ans,,58,56,53,50,43,49,54,42,47
Obwald,Etrangers,3,50 ans et plus,,32,33,29,30,24,16,17,17,17
Obwald,Etrangers,Total,,,103,104,95,93,76,77,79,64,68
Obwald,Suisses,1,15-24 ans,,20,18,16,22,14,9,8,17,17
Obwald,Suisses,2,25-49 ans,,46,57,57,51,42,43,42,40,31
Obwald,Suisses,3,50 ans et plus,,48,49,49,39,42,38,47,43,37
Obwald,Suisses,Total,,,114,124,122,112,98,90,97,100,85
Obwald,Total,,,,217,228,217,205,174,167,176,164,153
Nidwald,Etrangers,1,15-24 ans,,12,18,16,17,18,12,10,16,13
Nidwald,Etrangers,2,25-49 ans,,87,80,84,78,66,61,58,58,60
Nidwald,Etrangers,3,50 ans et plus,,34,31,32,21,28,31,28,22,21
Nidwald,Etrangers,Total,,,133,129,132,116,112,104,96,96,94
Nidwald,Suisses,1,15-24 ans,,24,23,21,15,14,17,10,20,18
Nidwald,Suisses,2,25-49 ans,,77,75,78,68,64,62,65,53,63
Nidwald,Suisses,3,50 ans et plus,,71,79,66,70,66,69,70,78,73
Nidwald,Suisses,Total,,,172,177,165,153,144,148,145,151,154
Nidwald,Total,,,,305,306,297,269,256,252,241,247,248
Glaris,Etrangers,1,15-24 ans,,37,37,33,26,23,18,19,23,21
Glaris,Etrangers,2,25-49 ans,,172,178,174,155,150,136,119,127,107
Glaris,Etrangers,3,50 ans et plus,,74,71,67,66,58,55,57,53,56
Glaris,Etrangers,Total,,,283,286,274,247,231,209,195,203,184
Glaris,Suisses,1,15-24 ans,,48,49,42,37,28,27,32,36,39
Glaris,Suisses,2,25-49 ans,,130,137,138,138,130,117,104,113,104
Glaris,Suisses,3,50 ans et plus,,106,104,97,95,95,88,84,83,89
Glaris,Suisses,Total,,,284,290,277,270,253,232,220,232,232
Glaris,Total,,,,567,576,551,517,484,441,415,435,416
Zoug,Etrangers,1,15-24 ans,,55,63,55,48,39,42,49,56,41
Zoug,Etrangers,2,25-49 ans,,558,562,554,549,542,498,490,478,497
Zoug,Etrangers,3,50 ans et plus,,214,207,196,194,184,184,189,178,179
Zoug,Etrangers,Total,,,827,832,805,791,765,724,728,712,717
Zoug,Suisses,1,15-24 ans,,117,118,105,104,89,72,70,121,92
Zoug,Suisses,2,25-49 ans,,502,505,501,485,455,450,452,451,438
Zoug,Suisses,3,50 ans et plus,,310,329,318,324,343,330,324,320,296
Zoug,Suisses,Total,,,929,952,924,913,887,852,846,892,826
Zoug,Total,,,,"1,756","1,784","1,729","1,704","1,652","1,576","1,574","1,604","1,543"
Fribourg,Etrangers,1,15-24 ans,,253,240,200,185,166,146,182,320,269
