Canton,Group,,Mois,Septembre 2017,Rate
Zurich,1,15-24 ans,,3.7,3.7
Zurich,2,25-49 ans,,3.4,3.4
Zurich,3,50 ans et plus,,2.9,2.9
Berne,1,15-24 ans,,2.8,2.8
Berne,2,25-49 ans,,2.5,2.5
Berne,3,50 ans et plus,,2.2,2.2
Lucerne,1,15-24 ans,,2.1,2.1
Lucerne,2,25-49 ans,,1.7,1.7
Lucerne,3,50 ans et plus,,1.6,1.6
Uri,1,15-24 ans,,0.5,0.5
Uri,2,25-49 ans,,0.5,0.5
Uri,3,50 ans et plus,,0.7,0.7
Schwyz,1,15-24 ans,,1.6,1.6
Schwyz,2,25-49 ans,,1.6,1.6
Schwyz,3,50 ans et plus,,1.9,1.9
Obwald,1,15-24 ans,,0.7,0.7
Obwald,2,25-49 ans,,0.7,0.7
Obwald,3,50 ans et plus,,0.8,0.8
Nidwald,1,15-24 ans,,0.9,0.9
Nidwald,2,25-49 ans,,0.9,0.9
Nidwald,3,50 ans et plus,,1.2,1.2
Glaris,1,15-24 ans,,1.8,1.8
Glaris,2,25-49 ans,,1.7,1.7
Glaris,3,50 ans et plus,,2.1,2.1
Zoug,1,15-24 ans,,1.8,1.8
Zoug,2,25-49 ans,,2.4,2.4
Zoug,3,50 ans et plus,,2.3,2.3
Fribourg,1,15-24 ans,,3.2,3.2
Fribourg,2,25-49 ans,,2.7,2.7
Fribourg,3,50 ans et plus,,2.5,2.5
Soleure,1,15-24 ans,,2.9,2.9
Soleure,2,25-49 ans,,2.5,2.5
Soleure,3,50 ans et plus,,2.6,2.6
Bâle-Ville,1,15-24 ans,,4.4,4.4
Bâle-Ville,2,25-49 ans,,3.7,3.7
Bâle-Ville,3,50 ans et plus,,2.8,2.8
Bâle-Campagne,1,15-24 ans,,3.2,3.2
Bâle-Campagne,2,25-49 ans,,2.8,2.8
Bâle-Campagne,3,50 ans et plus,,2.5,2.5
Schaffhouse,1,15-24 ans,,3.8,3.8
Schaffhouse,2,25-49 ans,,3.1,3.1
Schaffhouse,3,50 ans et plus,,2.3,2.3
Appenzell Rhodes-Extérieures,1,15-24 ans,,1.5,1.5
Appenzell Rhodes-Extérieures,2,25-49 ans,,1.7,1.7
Appenzell Rhodes-Extérieures,3,50 ans et plus,,1.8,1.8
Appenzell Rhodes-Intérieures,1,15-24 ans,,1,1
Appenzell Rhodes-Intérieures,2,25-49 ans,,0.5,0.5
Appenzell Rhodes-Intérieures,3,50 ans et plus,,0.9,0.9
St-Gall,1,15-24 ans,,2.4,2.4
St-Gall,2,25-49 ans,,2.2,2.2
St-Gall,3,50 ans et plus,,2.1,2.1
Grisons,1,15-24 ans,,1.4,1.4
Grisons,2,25-49 ans,,1,1
Grisons,3,50 ans et plus,,1,1
Argovie,1,15-24 ans,,3.3,3.3
Argovie,2,25-49 ans,,3,3
Argovie,3,50 ans et plus,,2.7,2.7
Thurgovie,1,15-24 ans,,2.3,2.3
Thurgovie,2,25-49 ans,,2,2
Thurgovie,3,50 ans et plus,,2,2
Tessin,1,15-24 ans,,5.2,5.2
Tessin,2,25-49 ans,,2.9,2.9
Tessin,3,50 ans et plus,,3,3
Vaud,1,15-24 ans,,4.3,4.3
Vaud,2,25-49 ans,,4.6,4.6
Vaud,3,50 ans et plus,,3.6,3.6
Valais,1,15-24 ans,,3.3,3.3
Valais,2,25-49 ans,,2.8,2.8
Valais,3,50 ans et plus,,2.5,2.5
Neuchâtel,1,15-24 ans,,6.1,6.1
Neuchâtel,2,25-49 ans,,5.2,5.2
Neuchâtel,3,50 ans et plus,,4.6,4.6
Genève,1,15-24 ans,,4.6,4.6
Genève,2,25-49 ans,,5.8,5.8
Genève,3,50 ans et plus,,4.1,4.1
Jura,1,15-24 ans,,5.1,5.1
Jura,2,25-49 ans,,4.4,4.4
Jura,3,50 ans et plus,,4,4
