OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
57424;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;3.9978244083501195
57425;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;582.322824675962
57426;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;774.5347010148951
57427;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;488.976094700818
57428;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;262.43012431637203
57429;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;69.7989375713526
57430;17604;Route de Peney;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;348.96009111206104
57431;17604;Route de Peney;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.231806447904898
57432;17604;Route de Peney;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;47.8875659814928
57433;17604;Route de Peney;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;57.826338483462
57434;17604;Route de Peney;Piste;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;212.30815056869798
57435;17604;Route de Peney;Piste;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;266.87352108088805
57146;15237;Rue  MAURICE;Dérogation 2R;1996;bidirectionnelle; ;au statut de la rue;;31.080286356467198
57143;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;230.826185991744
57144;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;101.438784808855
57147;15288;Rue Barthélemy- MENN;Bande;1993;unidirectionnelle;contresens;vélos + cyclomoteurs;;43.6903616373222
57148;15288;Rue Barthélemy- MENN;Bande;1993;unidirectionnelle;contresens;vélos + cyclomoteurs;;9.28384618571419
57149;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;5.49648978894712
57150;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;47.487371828795794
57151;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;34.66550235543129
57152;15299;  ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;85.81190536889069
57154;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;4.26812605249658
57155;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;63.2291150072743
57156;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;2.9699831649354502
57157;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;73.0434749483336
57158;15344;  ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;53.8795595093385
57159;15344;  ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;78.1203055601925
57162;15474;Rue Pedro- MEYLAN;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;62.3812201196422
57163;15482;Route de Meyrin;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;11.7584352700519
57164;15482;Route de Meyrin;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.2640630747925
57165;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.2640529826604
57166;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;42.12313912926759
