	road_name
0	Rue Ferdinand-Hodler
1	Rue des Charmilles 20
2	:ERROR STATUS: NOT_FOUND
3	Route de Vandœuvres 8
4	Route de Chêne 74
5	Route de Thonon
6	Unnamed Road
7	Quai du Mont-Blanc 31
8	Route de Chêne 110
9	Rue de Moillebeau 35-33
10	Rue de la Terrassière 42-48
11	Route d'Annecy
12	Boulevard Carl-Vogt 101-93
13	Route du Camp
14	Route de Veyrier 57-55
15	Route d'Hermance 150
16	Rue des Deux-Ponts 19-9
17	Rue de la Croix-Rouge
18	Route des Jeunes 16
19	Unnamed Road
20	Route du Bois-des-Frères 46
21	Route de Saint-Julien 111-109
22	Route de Chancy
23	Chemin Barde 6
24	Rue de la Servette 32-36
25	Quai Charles-Page
26	Cours de Rive 15-11
27	Rue de Berne 50-54
28	Chemin de l'Etang
29	E25
30	Rue du Fossé-Vert 3
31	Rue des Bossons 40
32	Unnamed Road
33	Avenue de Châtelaine 62-68
34	Rue de la Poterie 5-3
35	Route du Bois-de-Bay 57-51
36	E62
37	Rue de la Prulay
38	:ERROR STATUS: NOT_FOUND
39	Rue du Grand-Bureau 37-21
40	Route de Chancy
41	Rue de la Servette 28
42	Avenue Théodore-Vernes 13-17
43	Boulevard Georges-Favon 45-37
44	Chemin Alfred-Bétems
45	Place des Cinq-Continents
46	Rue Bovy-Lysberg 1
47	Chemin du Petit-Bel-Air 2
48	Route de Vernier
49	E62
50	Rue Tronchin 2-10
51	Av. de la Gare-des- Eaux-Vives 19
52	Rue des Savoises 7-3
53	Saint-Jean - Charmilles
54	Boulevard du Pont-d'Arve
55	Route de Vernier 137
56	Avenue Louis-Aubert
57	Avenue Pictet-de-Rochemont 9
58	Quai Wilson
59	Route du Pont Butin
60	Avenue du Mail 2
61	Ch. Jacques-Philibert-de-Sauvage 24
62	A1a
63	Chemin du Petit-Bel-Air 16-14
64	:ERROR STATUS: NOT_FOUND
65	Rue Hoffmann 4-10
66	Unnamed Road
67	Unnamed Road
68	E62
69	Rue De-Grenus
70	Route de Vernier
71	Rue François-Le-Fort
72	Rue Adrien-Lachenal 5
73	Route du Nant-d'Avril
74	Rue Robert-Estienne 8
75	Route du Pont Butin
76	Avenue de Mategnin
77	Quai Gustave-Ador
78	Pont de Sous-Terre
79	Route de Vernier
80	Avenue du Mail 22
81	Rue François-Dussaud 19-15
82	E62
83	Route de Saint-Julien 152-162
84	Route de Jussy
85	Avenue du Curé Baud
86	Rue Prévost-Martin 61-41
87	Chemin de la Chevillarde 9
88	Unnamed Road
89	Rue du Pont-Neuf 12
90	Place des Eaux-Vives 12
91	Rue Pédro-Meylan 11-5
92	Rue Caroline 27-11
93	Chemin de la Tour-de-Champel 2-10
94	Promenade de l'Europe
95	Tunnel de Vernier
96	Quai du Mont-Blanc 3
97	Grottes - Saint-Gervais
98	Unnamed Road
99	Avenue de Châtelaine 95-91
100	Rue de Carouge 73-69
101	Rue de la Fontenette
102	Avenue du Grand-Salève 4
103	Route de Bardonnex
104	Chemin des Tuileries 35-33
105	Route de Suisse 11
106	Quai du Général-Guisan
107	Centre-Plainpalais-Acacias
108	Place de la Gare
109	Rue de la Croix-du-Levant
110	Rue Liotard 2-8
111	Avenue du Mail 30
112	Voie Centrale
113	Boulevard de Saint-Georges 11-7
114	Route d'Hermance 249-247
115	Route de Lausanne 340
116	Rue Ferdinand-Hodler
117	Unnamed Road
118	Rue des Bains 36-50
119	Route de Chancy
120	Route du Grand-Lancy 92-96
121	Route de Meyrin
122	Rue Antoine-Carteret 25-23
123	Avenue Eugène Lance 39
124	Unnamed Road
125	Chemin des Mouilles 10-14
126	Route de Lausanne 288-290
127	Route de Saint-Julien 125-123
128	Chemin Emile Paquin 7-1
129	Rue Ancienne 4-30
130	Route de Saint-Julien 85
131	Rue des Bugnons
132	Route du Val-d'Arve
133	Unnamed Road
134	Avenue Louis-Casaï 18
135	Chemin Louis-Dunant
136	Quai Gustave-Ador 2
137	Rue de Genève 25-21
138	Rue de Montbrillant 94
139	Boulevard du Pont-d'Arve 49
140	Avenue de la Paix
141	Centre-Plainpalais-Acacias
142	Route du Pont Butin 91
143	Rue de la Servette 85-77
144	Rue de Frémis 5-1
145	Avenue Tronchet 4-8
146	Geneva
147	Avenue du Mail 22
148	Route de Ferney
149	Rue Dancet 41-23
150	Rue de Frémis
151	Unnamed Road
152	Chemin de l'Etang 54
153	Rue Hoffmann 4-10
154	E62
155	Chemin de la Chevillarde
156	Avenue Edouard-Baud
157	Chemin de Moillebin
158	Lancy
159	Avenue Krieg
160	Rue Henri-Christiné 7-1
161	Route du Nant-d'Avril 58-68
162	Route de Presinge
163	Avenue Henri-Dunant
164	Avenue du Bouchet 29-21
165	Rue Eugène-Marziano 23
166	Quai du Mont-Blanc 25-21
167	Rue de la Ferme 2
168	E25
