	road_name
0	Quai du Seujet 24-34
1	Rue Boissonnas 13-11
2	Route de Veyrier 172
3	Tunnel de Vernier
4	Rue des Boudines 2-10
5	Unnamed Road
6	Avenue du Pailly
7	Rue Baylon
8	Chemin Palud 3-1
9	Rue du Prieuré
10	Route du Camp
11	Avenue Louis-Casaï 73-71
12	Rue des Pierres-du-Niton
13	Route du Stand-de-Veyrier
14	Rue Henri-Veyrassat 2-14
15	Rue des Eaux-Vives 104-108
16	Chemin de l'Etang 70
17	E62
18	Route de Saint-Julien 129-127
19	Rue de Montbrillant 10-30
20	Rue de Genève 6-50
21	Unnamed Road
22	Rue de Genève 52-66
23	Avenue des Allières
24	Quai Gustave-Ador 68-78
25	Avenue du Mail 22
26	Avenue des Libellules 8-16
27	Chemin Rey
28	Rue de l'Ecole-de-Médecine 4-6
29	Rue du Conseil-Général 2-4
30	A1a
31	Chemin de la Gravière
32	Route de Suisse 15-13
33	Place de Cornavin
34	Chemin Jacques-Philibert-de-Sauvage
35	Rue de l'Ecole-de-Chimie 2-4
36	Route de Vernier
37	Place du Lignon 16
38	Avenue Louis-Casaï 70
39	Unnamed Road
40	Route de Ferney 169-167
41	Route des Jeunes
42	E62
43	Route de Mon-Idée 24
44	Chemin des Mattines
45	Rue de la Tour-Maîtresse 9-7
46	Rue de la Dôle 5-3
47	Unnamed Road
48	Route d'Annecy
49	E62
50	E62
51	Rue de la Prulay 65-57
52	Rue des Deux-Ponts 18-24
53	Chemin de la Menuiserie 8-6
54	Boulevard James-Fazy 13-5
55	Tunnel de Vernier
56	Route du Mandement 528-538
57	Rue de Genève 101-91
58	Boulevard Helvétique 23-17
59	Route de Jussy 200-202
60	Unnamed Road
61	E62
62	Unnamed Road
63	Avenue des Communes-Réunies 48
64	Avenue Giuseppe Motta 8-16
65	Rue Philippe-Plantamour 6-14
66	Rue de la Dôle 15-5
67	Avenue des Cavaliers 7-1
68	Rue du 31 Décembre 27-17
69	Avenue d'Aïre
70	Route de Ferney
71	Route de Suisse 158-162
72	Rue du Pont-Neuf 19
73	Rue des Grand-Prë
74	Route de Chêne 2
75	Chemin Edouard-Sarasin 14
76	Quai de Cologny
77	Pont du Mont-Blanc
78	Route de Pregny
79	Avenue des Morgines
80	Rue de la Servette 25-11
81	Route de Frontenex 51-47
82	Route de Meyrin 214
83	Route de Vernier
84	Rue Charles-Rosselet 2-10
85	Route de Jussy 314-318
86	Chemin des Palettes 23-15
87	Rue Lect
88	Avenue de Châtelaine
89	Route de Base 31
90	Rue de Lyon 67-61
91	Rue de la Fontenette
92	Route des Acacias 68
93	E62
94	Place des Cinq-Continents
95	Avenue de Thônex
96	E62
97	Route de Vernier
98	Rue Rodo
99	Avenue de Feuillasse
100	Route du Bois-des-Frères 46
101	Route de Saconnex d'Arve
102	Grottes - Saint-Gervais
103	Route de la Capite 249
104	Avenue de la Paix 7-5
105	Rue du Jeu-de-l'Arc 7
106	:ERROR STATUS: NOT_FOUND
107	E62
108	Chemin Antoine-Verchère
109	Route des Batailleux
110	Rue du Colonel-Coutau 3
111	Avenue Ernest-Pictet
112	Route de Peney 103-79
113	Route des Morillons 11-3
114	Route de Chancy 250-254
115	Route de Veyrier
116	Rue Joseph-Pasquier
117	Route des Acacias 38-30
118	Route de Thonon
119	Rue Pierre-Fatio 9-3
120	Quai du Cheval-Blanc 15-23
121	Unnamed Road
122	Rue de l'Arquebuse 18-22
123	Route du Pont-de-la-Fin 12-10
124	Chemin du Pont-du-Centenaire 108-110
125	Chemin du Pommier 14
126	Route de Laconnex
127	Route de Saint-Julien 52-60
128	Rue Vautier 45-29
129	Chemin de la Cocuaz 2-4
130	Rue du Village 3-1
131	Chemin du Petit-Bel-Air 2
132	Route de Malagny 11-1
133	Boulevard des Tranchées
134	Rue du Tir 5
135	Chemin des Rayes 45
136	Route de Chêne 63
137	A1a
138	A1a
139	Route d'Ornex
140	Route de Jussy 67
141	Route de Vernier
142	Chemin Agenor-Parmelin 13-7
143	Route des Acacias 28-22
144	Rue des Pâquis 5-1
145	Chemin Jules-Edouard-Gottret 30-32
146	Versoix
147	Route de Meyrin
148	Route de Bourdigny 10-16
149	Chemin du Pommier
150	Chemin des Deux-Communes 31-23
151	Route de Jussy
152	Route de Pré-Bois
153	Route de Malagnou 101
154	Chemin de Boisruail
155	Rue de la Ferme 17-13
156	Route de Saint-Julien 70
157	Rue du Dauphiné 12-18
158	Tunnel de Confignon
159	:ERROR STATUS: NOT_FOUND
160	Route d'Hermance 507-505
161	Chemin des Fraisiers 37-23
162	Route du Nant-d'Avril 36-40
163	Chemin des Flombards 6-18
164	Route du Merley 2-14
165	E62
166	E62
167	Boulevard de Saint-Georges 18-28
168	Chemin des Floralies 2-4
169	Route de Malagnou 101
170	Chemin Bizot 4
171	Boulevard des Promenades
172	Boulevard Helvétique 18
173	Rue de Lyon 110
174	Boulevard des Promenades 25
175	Unnamed Road
176	Rue de la Mairie 8
177	Rue de Lyon
178	Quai Wilson
179	Route des Franchises
180	Route de Veyrier
181	Route Blanche
182	Route de Saint-Julien 270-278
183	E62
184	Pâquis-Nations
185	Route de Meyrin
186	Route du Grand-Lancy 97-95
187	Route de Chêne 70-72
188	A1a
189	Quai du Mont-Blanc 19
190	Chemin de la Mousse 63
191	Plateau de Frontenex 8
192	Route de Vernier 92-94
193	Rue des Deux-Ponts 7
194	Avenue Tronchet 22-20
195	Route de Lausanne 314-318
196	Unnamed Road
197	Route de Malagnou 36
198	Route de Meyrin
199	Voie Centrale
200	Chemin Terroux 18
201	Unnamed Road
202	Pont du Mont-Blanc
203	Chemin des Deux-Communes
204	Chemin des Semailles
205	Route de Vernier
206	Rue Jacques-Grosselin 28
207	Boulevard Helvétique 31-25
208	Chemin des Corbillettes 7-3
209	Route de Jussy
210	Rue Terreaux-du-Temple 12
211	Avenue de l'Ain
212	Quai du Mont-Blanc 11-7
213	Avenue du Gros-Chêne 43-41
214	Route de Saint-Julien
215	Route de Ferney 208
216	Rue de Montbrillant 74-90
217	Boulevard du Pont-d'Arve 38-44
218	E62
219	E62
220	Route de Meyrin
221	Unnamed Road
222	Quai du Général-Guisan
223	Route des Morillons 4
224	:ERROR STATUS: NOT_FOUND
225	Route du Grand-Lancy
226	Chêne-Bougeries
227	Route de Chêne 132-138
228	Route de Vernier
229	Rue de Saint-Jean 12-22
230	Route de Veyrier 174-176
231	Pâquis-Nations
232	Chemin de la Montagne 56-58
233	Boulevard Georges-Favon 29
234	Pont du Mont-Blanc
235	E62
236	Chemin du Petit-Saconnex 28-32
237	Rue Ami-Lévrier 7-1
238	Rue des Allobroges 16
239	Avenue de l'Amandolier 27-19
240	Avenue Trembley 15-13
241	Pâquis-Nations
242	Boulevard de la Cluse 30-38
243	Route de Saint-Julien
244	Avenue Louis-Rendu
245	Avenue Théodore-Vernes 18-14
246	Route de Pregny 59-57
247	Route de l'Etraz
248	Avenue de Miremont 17-9
249	Route de Chancy 150-156
250	Chemin de la Milice
251	Rue Terreaux-du-Temple 2-4
252	Tunnel de Confignon
253	Route du Nant-d'Avril
254	Route d'Hermance 347-339
255	Pont du Mont-Blanc
256	Rue des Alpes 12
257	Boulevard Carl-Vogt 29-19
258	Rue de Fribourg 2-16
259	Place de Cornavin 10-22
260	Boulevard du Pont-d'Arve 19-9
261	Rue des Glacis-de-Rive
262	Rue de la Dôle 5-3
263	Pont du Mont-Blanc
