	road_name
0	Chemin des Corbillettes 20
1	Chemin Colladon 2-6
2	Quai Gustave-Ador 2
3	Route de Meyrin
4	Rue du I'Eglise
5	Unnamed Road
6	Route de Saint-Julien
7	Rue du Valais 7-3
8	Avenue de France 40
9	Rue Carqueron 1-10
10	Avenue Louis-Casaï
11	Route des Jeunes
12	Saint-Jean - Charmilles
13	Rue des Bains 12-20
14	Champel
15	Rue Du-Roveray 2-14
16	Avenue De-Budé 17-1
17	Chemin de la Traille 26-36
18	Rue de l'Ancien-Port 2-8
19	Unnamed Road
20	Avenue Louis-Casaï 16
21	Rue Jean-François Bartholoni 10
22	Place de Cornavin
23	Unnamed Road
24	Avenue du Lignon
25	Avenue de Thônex 4-6
26	Rue des Caroubiers 19-13
27	Avenue Adrien-Jeandin 4-6
28	Rue Adrien-Lachenal 5
29	Rue de Veyrot 6-8
30	Avenue de l'Ain
31	Route de Vessy 31-29
32	Route du Nant-d'Avril 36-40
33	Route de Saint-Georges
34	Square Clair-Matin 4-2
35	Avenue du Mail 1
36	Jonction
37	Jonction
38	Avenue Blanc 36-38
39	Route de Jussy 15
40	Chemin des Batailles
41	Avenue Vibert
42	Vernier
43	Rue de Lyon 67-61
44	Avenue de Mategnin 54
45	Route du Mandement 110
46	:ERROR STATUS: NOT_FOUND
47	Route du Val-d'Arve 92
48	Route de Chêne 37-31
49	Avenue de Crozet
50	Route du Crêt-de-Choully 6-16
51	Boulevard des Tranchées
52	Rue de Montbrillant
53	Route de Malagnou 16-10
54	Rue d'Italie 8-12
55	Place Jean-Marteau 1
56	Place du Lignon 34
57	Rue des Charmilles 19
58	Rue des Pavillons 4-6
59	Route de Chêne 65
60	Route de Compois 24-30
61	Route du Grand-Lancy 31-29
62	Route de Vernier 92-94
63	Route de Meyrin
64	Rue des Asters 18-22
65	Quai Ernest-Ansermet 36-42
66	Avenue de Thônex
67	Rue des Pierres-du-Niton 6
68	Quai du Cheval-Blanc
69	:ERROR STATUS: NOT_FOUND
70	Grottes - Saint-Gervais
71	Route de Malagnou 48-52
72	Route de Veyrier
73	Route de Ferney 4-10
74	Cours de Rive 18-20
75	Avenue de Sainte-Clotilde 2-6
76	Rue des Charmilles 11-7
77	Route de Frontenex 37-35
78	Quai du Cheval-Blanc 15-23
79	La Vy-Neuve 23
80	Route du Pont-de-la-Fin 2
81	Route de Jussy 230
82	Pont de l'Écu
83	Rue Dancet 17-11
84	Avenue Henri-Dunant
85	Route de la Vorge
86	E62
87	Avenue du Plateau 35-25
88	Rue de Jargonnant
89	Unnamed Road
90	E62
91	Avenue Louis-Aubert
92	Rampe de la Gare 2-6
93	Avenue de Crozet
94	Chemin Taverney 3-1
95	Rue du Comte-Géraud 16-26
96	Chemin des Tuileries 35-33
97	Rue Lamartine
98	Pont du Mont-Blanc
99	E62
100	Rue Liotard 62-78
101	Route de Saint-Julien 111-109
102	Route de Meinier 10
103	Avenue Petit-Senn
104	Route de Chêne 6-8
105	Ch. Jacques-Philibert-de-Sauvage 4-6
106	Route de Chêne 67-65
107	Route de la Capite 190
108	:ERROR STATUS: NOT_FOUND
109	E62
110	Rue Albert-Cohen 3
111	Rue Lombard
112	Rue de la Servette 42-72
113	Quai du Général-Guisan 2-8
114	Route de Satigny
115	E62
116	Rue du Conseil-Général 2-4
117	Boulevard Carl-Vogt 91-83
118	Place de l'Etoile
119	Tunnel de Vernier
120	Chemin Dottrens 22-24
121	Avenue Eugène Lance
122	Chemin de la Gabiule 110-118
123	Centre-Plainpalais-Acacias
124	:ERROR STATUS: NOT_FOUND
125	Rue Cavour 16-20
126	1
127	Avenue Louis-Casaï 73-71
128	Avenue de la Paix 11-9
129	Rue Peillonnex 36-40
130	Quai Gustave-Ador 2
131	Rue de Jargonnant 5-1
132	Avenue de l'Amandolier 27-19
133	Boulevard des Tranchées
134	Route de Meyrin
135	Boulevard Georges-Favon 16
136	Route de Jussy
137	Rue Jean-Gutenberg 2-12
138	Rue des Moulières 5
139	Chemin du Pré-Carbeux
140	Vernier
141	Route de la Garenne
142	Rue Adolphe-Tschumi 3
143	Rue du Mont-Blanc 11-9
144	Route de Chancy 11
145	Route de Peney
146	Rue de Richemont 21-13
147	Avenue de Sécheron 11-1
148	:ERROR STATUS: NOT_FOUND
149	Rue du Grand-Pré 52-60
150	Route de Malagnou
151	Rue Peillonnex 33-31
152	Chemin Frank-Thomas 6
153	Boulevard Helvétique 31-25
154	Rue des Garages
155	La Voie-de-Moëns 2-10
156	Rue Gabrielle-Perret-Gentil 4
157	A1a
158	Pregny-Chambésy
159	Boulevard de la Cluse
160	Rue des Grand'Portes
161	Route de Frontenex
162	Grottes - Saint-Gervais
163	Route de Thonon
164	Route de Saint-Julien
165	Rue Liotard 29-25
166	Rue de l'Athénée 6-8
167	Geneva
