ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
227920;Autres carrefours;;2008-04-18 16:20:43;;2488703.73;1112863.20
226972;Autres carrefours;;2008-04-18 16:20:43;;2498037.46;1116564.10
226973;Autres carrefours;;2008-04-18 16:20:43;;2498076.53;1116586.90
227627;Autres carrefours;;2008-04-18 16:20:43;;2489381.69;1112410.11
227626;Autres carrefours;;2008-04-18 16:20:43;;2489577.46;1112451.80
227922;Autres carrefours;;2008-04-18 16:20:43;;2488740.30;1112911.90
227923;Autres carrefours;;2008-04-18 16:20:43;;2488730.73;1112917.95
227927;Autres carrefours;;2008-04-18 16:20:43;;2488528.27;1112768.66
223333;Autres carrefours;;2008-04-18 16:20:43;;2508424.66;1123511.47
227935;Autres carrefours;;2008-04-18 16:20:43;;2488280.64;1112348.16
227934;Autres carrefours;;2008-04-18 16:20:43;;2488212.16;1112336.04
223188;Autres carrefours;;2008-04-18 16:20:43;;2508842.62;1122259.49
232465;Impasse;;2008-04-18 16:20:43;;2508775.01;1122048.46
223353;Autres carrefours;;2008-04-18 16:20:43;;2510739.84;1122199.76
233131;Frontière;;2008-04-18 16:20:43;;2511852.48;1124234.00
225848;Autres carrefours;;2008-04-18 16:20:43;;2491347.09;1116786.17
226134;Autres carrefours;;2008-04-18 16:20:43;;2491371.54;1116786.73
225847;Autres carrefours;;2008-04-18 16:20:43;;2491437.32;1116775.70
224150;Autres carrefours;;2008-04-18 16:20:43;;2491515.99;1116745.16
226542;Autres carrefours;;2008-04-18 16:20:43;;2491673.55;1116921.10
226086;Autres carrefours;;2008-04-18 16:20:43;;2491891.39;1117186.52
226505;Autres carrefours;;2008-04-18 16:20:43;;2492021.84;1116855.94
226504;Autres carrefours;;2008-04-18 16:20:43;;2492124.62;1116838.59
226023;Autres carrefours;;2008-04-18 16:20:43;;2492154.08;1116681.12
226025;Autres carrefours;;2008-04-18 16:20:43;;2492299.89;1116655.34
226490;Autres carrefours;;2008-04-18 16:20:43;;2492281.91;1116502.27
232484;Impasse;;2008-04-18 16:20:43;;2492349.73;1116697.88
226017;Autres carrefours;;2008-04-18 16:20:43;;2492270.20;1116382.92
226493;Autres carrefours;;2008-04-18 16:20:43;;2492141.68;1116327.39
232052;Impasse;;2008-04-18 16:20:43;;2492581.88;1115898.24
226092;Autres carrefours;;2008-04-18 16:20:43;;2492947.64;1115652.92
228295;Autres carrefours;;2008-04-18 16:20:43;;2492335.36;1116305.22
226054;Autres carrefours;;2008-04-18 16:20:43;;2492342.44;1116296.99
226486;Autres carrefours;;2008-04-18 16:20:43;;2492363.88;1116273.05
226484;Autres carrefours;;2008-04-18 16:20:43;;2492420.07;1116198.66
226091;Autres carrefours;;2008-04-18 16:20:43;;2492747.69;1115820.40
