NO_SIREDO;NO_POINT_MESURE;CODE_VOIE;NOM_VOIE;DIRECTION;TJOM;TJOM_ANNEE;TJM;TJM_ANNEE;DISPONIBILITE;ANGLE;PRESELECTION;ID_GM_TRONCON;CAPTEUR;DATEDT;NOM_POINT_DE_MESURE;E;N;HPM;HPS
80.10000000000001;6727;05525;Rue de Chêne-Bougeries;;8359;2015;8360;2015;2 mois par an;128.0;Toutes_Directions;114184.0;PCRT;2016-10-12 10:04:52;Chêne-Bougeries / Montagne;2503566.98;1116940.55;;
147.20000000000002;17007;23590;Avenue de Thônex;;4539;2015;3961;2015;2 mois par an;15.0;Toutes_Directions;115652.0;PCRT;2016-10-12 10:04:52;Thônex / Genève;2504307.66;1116431.69;;
147.1;17028;23590;Avenue de Thônex;;5076;2015;4598;2015;2 mois par an;195.0;Toutes_Directions;115652.0;PCRT;2016-10-12 10:04:52;Thônex / Genève;2504306.25;1116437.21;;
144.20000000000002;17025;11282;Rue de Genève;;5320;2015;5487;2015;2 mois par an;285.0;Toutes_Directions;118850.0;PCRT;2016-10-12 10:04:52;Genève / Thônex;2504296.99;1116552.65;;
144.1;17081;11282;Rue de Genève;;8330;2015;8331;2015;2 mois par an;105.0;Toutes_Directions;118850.0;PCRT;2016-10-12 10:04:51;Genève / Thônex;2504295.19;1116538.37;;
6021.1;24203;13617;Rue de Lausanne;;6748;2015;6533;2015;2 mois par an;20.0;Toutes_Directions;113269.0;PCRT;2016-10-12 10:04:51;Lausanne / Dentand;2500440.39;1119323.56;;
113.10000000000001;3321;16217;Avenue Giuseppe- MOTTA;;5922;2015;5299;2015;365 jrs/an;220.0;Toutes_Directions;115035.0;PCRT;2016-10-12 10:04:51;"Motta / Pré-Cartelier
r";2499163.13;1119256.01;;
113.2;3322;16217;Avenue Giuseppe- MOTTA;;6253;2015;5668;2015;365 jrs/an;40.0;Toutes_Directions;115035.0;PCRT;2016-10-12 10:04:51;Motta / Pré-Cartelier;2499163.58;1119248.46;;
69.10000000000001;47786;14346;Avenue du Mail;;12398;2015;12070;2015;2 mois par an;143.0;Toutes_Directions;119247.0;PCRT;2016-10-12 10:04:50;Mail / Patru;2499735.73;1117029.56;;
41.2;38155;09920;Boulevard Georges- FAVON;;14695;2015;14100;2015;2 mois par an;355.0;Toutes_Directions;114662.0;PCRT;2016-10-12 10:04:50;Georges-Favon / Synagogue;2499783.73;1117597.27;;
41.1;38175;09920;Boulevard Georges- FAVON;;17118;2015;16221;2015;2 mois par an;175.0;Toutes_Directions;114662.0;PCRT;2016-10-12 10:04:50;Georges-Favon / Synagogue;2499774.55;1117599.59;;
34.1;1865;23515;Rue des Terreaux-du-Temple;;10949;2015;10545;2015;2 mois par an;38.0;Toutes_Directions;113655.0;PCRT;2016-10-12 10:06:35;Terreaux-du-Temple;2499819.58;1118076.04;;
6117.2;6517;09113;Quai Ernest- ANSERMET;;4947;2015;4603;2015;2 mois par an;130.0;Toutes_Directions;110132.0;PCRT;2016-10-12 10:04:50;Ansermet / Deux-Ponts;2498932.19;1117312.10;;
6015.2;23790;90018;Pont des Acacias;;12967;2015;12113;2015;365 jrs/an;230.0;Toutes_Directions;112413.0;PCRT;2016-10-12 10:04:49;Acacias (Pont);2499705.11;1116593.45;;
6015.1;23786;90018;Pont des Acacias;;17260;2015;16075;2015;365 jrs/an;50.0;Toutes_Directions;112413.0;PCRT;2016-10-12 10:04:49;Acacias (Pont);2499708.96;1116580.66;;
2025.2;10618;90263;Pont de la Fontenette;;8768;2015;8112;2015;365 jrs/an;190.0;Toutes_Directions;120530.0;PCRT;2016-10-12 10:04:49;Fontenette (pont);2500250.74;1115871.71;;
2025.1000000000001;10602;90263;Pont de la Fontenette;;6336;2015;5732;2015;365 jrs/an;10.0;Toutes_Directions;120530.0;PCRT;2016-10-12 10:04:49;Fontenette (pont);2500256.47;1115868.99;;
2021.1000000000001;21;90123;Pont  BUTIN;;26989;2015;24522;2015;365 jrs/an;355.0;Toutes_Directions;120043.0;;2016-10-12 10:05:22.000001;* Butin (Pont, T. 152);2497499.59;1117690.08;;
103.2;1222;24368;Quai  TURRETTINI;;1718;2015;1602;2015;2 mois par an;260.0;Toutes_Directions;119115.0;PCRT;2016-10-12 10:05:47;Turretini;2499884.50;1117951.84;;
33.1;10580;09997;Boulevard James- FAZY;;13481;2015;12983;2015;2 mois par an;222.0;Toutes_Directions;113656.0;PCRT;2016-10-12 10:05:46;Fazy / Bautte;2499767.08;1118159.82;;
35.2;10366;26190;Rue  VOLTAIRE;;10883;2015;10164;2015;2 mois par an;310.0;Toutes_Directions;118060.0;PCRT;2016-10-12 10:05:46;Voltaire / Fazy;2499717.75;1118134.88;;
35.1;10386;26190;Rue  VOLTAIRE;;8539;2015;7884;2015;2 mois par an;123.0;Toutes_Directions;118060.0;PCRT;2016-10-12 10:05:46;Voltaire / Fazy;2499708.66;1118134.43;;
6079.2;14865;;;;16299;2015;15597;2015;2 mois par an;127.0;Toutes_Directions;110125.0;PCRT;2016-10-12 10:05:45;Servette / Malatrex;2499801.13;1118299.33;;
6040.2;2151;13617;Rue de Lausanne;;16359;2015;15762;2015;365 jrs/an;165.0;Toutes_Directions;110073.0;PCRT;2016-10-12 10:05:45;Lausanne / Thomas;2500426.50;1120061.98;;
66.1;22910;14265;Rue de Lyon;;9138;2015;8727;2015;2 mois par an;100.0;Toutes_Directions;119352.0;PCRT;2016-10-12 10:05:45;Lyon / Tronchin;2499218.92;1118319.44;;
6072.2;3515;14265;Rue de Lyon;;2881;2015;2912;2015;2 mois par an;70.0;Toutes_Directions;111477.0;PCRT;2016-10-12 10:05:44;Lyon / Servette;2499670.69;1118359.83;;
6072.1;3516;14265;Rue de Lyon;;4053;2015;3917;2015;2 mois par an;250.0;Toutes_Directions;111477.0;PCRT;2016-10-12 10:05:44;Lyon / Servette;2499674.60;1118364.89;;
6071.2;3513;22314;Rue de la Servette;;7703;2015;7594;2015;365 jrs/an;122.0;Toutes_Directions;118064.0;PCRT;2016-10-12 10:05:44;Servette / Lyon;2499684.14;1118396.10;;
6071.1;3514;22314;Rue de la Servette;;2976;2015;3074;2015;365 jrs/an;302.0;Toutes_Directions;118064.0;PCRT;2016-10-12 10:05:43;Servette / Lyon;2499697.37;1118404.31;;
6025.1;22003;10731;Avenue de France;;7303;2015;6946;2015;365 jrs/an;115.0;Toutes_Directions;117568.0;PCRT;2016-10-12 10:05:43;France / Montbrillant;2499845.81;1119692.14;;
6027.1;22303;13617;Rue de Lausanne;;7659;2015;7617;2015;2 mois par an;20.0;Toutes_Directions;110997.0;PCRT;2016-10-12 10:05:42;Lausanne / Monthoux;2500116.50;1118570.15;;
6027.2;22304;13617;Rue de Lausanne;;4470;2015;4445;2015;2 mois par an;200.0;Toutes_Directions;110997.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Monthoux;2500107.30;1118576.83;;
6022.1;34871;13617;Rue de Lausanne;;15327;2015;14585;2015;2 mois par an;30.0;Toutes_Directions;110080.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Sécheron;2500512.84;1119484.37;;
6022.2;34851;13617;Rue de Lausanne;;13167;2015;12838;2015;2 mois par an;210.0;Toutes_Directions;110080.0;PCRT;2016-10-12 10:05:41.000001;Lausanne / Sécheron;2500500.78;1119479.50;;
2005.2;586;90433;Pont du Mont-Blanc;;34580;2015;32942;2015;365 jrs/an;155.0;Toutes_Directions;114704.0;PCRT;2016-10-12 10:05:40;Mont-Blanc (pont);2500485.86;1117906.15;;
2005.1000000000001;590;90433;Pont du Mont-Blanc;;31890;2015;31156;2015;365 jrs/an;332.0;Toutes_Directions;114704.0;PCRT;2016-10-12 10:05:40;Mont-Blanc (pont);2500499.46;1117902.85;;
15.1;1224;90360; Ponts de l' Ile;;2561;2015;2286;2015;365 jrs/an;342.0;Toutes_Directions;117942.0;PCRT;2016-10-12 10:05:09;Île;2499979.51;1117956.66;;
15.200000000000001;1223;90360; Ponts de l' Ile;;1684;2015;1506;2015;365 jrs/an;162.0;Toutes_Directions;117942.0;PCRT;2016-10-12 10:05:09;Île;2499970.75;1117954.45;;
2017.1000000000001;22260;90190;Pont de la Coulouvrenière;;12683;2015;12364;2015;365 jrs/an;352.0;Toutes_Directions;110134.0;PCRT;2016-10-12 10:05:08;"Coulouvrenière (pont)
";2499764.12;1117830.71;;
2017.2;22261;90190;Pont de la Coulouvrenière;;17515;2015;16926;2015;365 jrs/an;173.0;Toutes_Directions;110134.0;PCRT;2016-10-12 10:05:08;Coulouvrenière (pont);2499753.56;1117830.05;;
