NOM_ZONE;TYPE_ZONE;ETAT;LIMITE_VITESSE;ANNEE_MISE_EN_SERVICE;SHAPE.AREA;SHAPE.LEN
Les Eaux - Vives;Zone 30;En place;30;2011;246999.1055;2111.45530246545
Cointrin Ouest;Zone 30;En place;30;2005;122657.5616;1508.14958179714
Vieusseux / Franchises;Zone de rencontre (20);En place;20;2002;2302.7175;214.063584426755
Rue Leschot;Zone de rencontre (20);En place;20;2002;8266.17075;535.424810565018
Les Grottes;Zone 30;En place;30;1998;60790.45805;972.9129144846311
Bardonnex;Zone 30;En place;30;2004;6659.14035;469.2394054396631
Lancy  zone sud;Zone de rencontre (20);En place;20;2000;16894.9917;679.515413191909
OMS;Limitation 20 km/h;En place;20;2011;14548.391800000001;582.809765450081
Ch. du Moulin-des-Frères;Limitation 30 km/h;En place;30;2004;38781.7799;1391.71345399113
Maisonneuve;Zone 30;En place;30;1992;325840.46435;2355.36780145723
Grand-Pré;Zone 30;En place;30;1996;167040.88345;1773.4127071284302
Lancy  Zone est;Zone 30;En place;30;2002;241773.7409;2949.02881824028
Pommier;Zone de rencontre (20);En place;20;2016;1226.8695;144.596596090566
Pinchat;Zone 30;En place;30;2009;188012.3789;2447.4372295281505
Etienne-CHENNAZ;Zone 30;En place;30;2016;29373.2227;915.581812655142
Meinier;Zone 30;En place;30;2005;13561.68465;696.633258221232
Alphonse-Ferrand;Zone 30;En place;30;2004;163178.13275;1911.2664221728903
Lully;Zone 30;En place;30;2003;58762.65925;1135.91846232288
Simon-GOULART;Zone de rencontre (20);En place;20;2016;638.23455;120.930230877179
Rue de la Rôtisserie;Zone de rencontre (20);En place;20;1998;29021.32015;1323.4988651644
Verchères;Zone 30;En place;30;2001;189182.74305;2172.35201031867
Promenade du Pin;Zone de rencontre (20);En place;20;1997;3874.4172000000003;540.854167745307
Conches;Zone 30;En place;30;1996;790011.67665;3912.85918232742
Haut de Champel;Zone 30;En place;30;2001;361971.2773;2944.880087461
Gy;Zone 30;En place;30;2001;140323.6918;1913.8220896171301
Vuattes, Bois-Mallet et Milice;Zone de rencontre (20);En place;20;2007;52604.3071;980.0413861637071
Hermance - Bourg-Dessus;Zone de rencontre (20);En place;20;2016;56425.26875;975.929390957856
Rue de l'Ecole-de-Médecine;Zone 30;En place;30;2015;3287.76875;369.468329094086
Prés-de-la-Berne;Limitation 30 km/h;En place;30;;101454.29215;1286.16481334948
OIT;Limitation 30 km/h;En place;30;2011;43208.5632;840.5206657743811
Onex;Zone de rencontre (20);En place;20;2005;27222.888;729.337343256101
Marronniers-Flèche-Chapelle;Zone de rencontre (20);En place;20;2004;9364.63465;389.588504505873
Peutets;Zone de rencontre (20);En place;20;2009;6839.73575;586.0288732545761
Chemin des Deux-Communes;Zone de rencontre (20);En place;20;2013;18490.7959;766.4779518526121
Onex;Zone 30;En place;30;2016;286660.3137;2170.6286557548
Plan-les-Ouates Sud;Zone 30;En place;30;2015;373475.77805;3784.46706891558
Paquis;Zone de rencontre (20);En place;20;2000;22533.2416;743.046639758021
Vieusseux / Franchises;Zone 30;En place;30;2002;15592.2879;507.85758215622104
Jonction;Zone 30;En cours d'instruction;30;;42891.0899;897.502177754988
Corsier;Zone 30;En place;30;1997;248167.8374;2064.5607298735
Vessy;Zone 30;En place;;2016;106153.17305;3171.1087647471
Jonction;Zone 30;En cours d'instruction;30;;30456.6258;866.9346506663491
Golette;Zone de rencontre (20);En place;20;1997;6146.97745;432.664239164036
Délices;Zone 30;En cours d'instruction;30;;36669.059;855.334070278677
Liotard;Zone 30;En place;30;2002;284514.3439;2397.15065621215
Gare Cornavin;Zone de rencontre (20);En place;20;2005;6985.33305;451.584708656122
Golette;Zone 30;En place;30;1997;177086.29645;2285.85286688191
