	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E_x	N_x	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	road_name	corresponding_name	prob	NOM_VOIE	TJOM	TJM	DISPONIBILITE	DATEDT	NOM_POINT_DE_MESURE	E_y	N_y
0	1754	1570896.0	2015-03-13	Accident par tamponnement	Genève	Aurore / crépuscule	Beau	Avec blessés légers	6.15017938747488	46.21772262331606	Sèche	Route principale	1899-12-30 06:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2500579.0	1119293.0	2015	3	13	Etat / intention du conducteur	Influence de l'alcool	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
1	6812	1615794.0	2015-06-28	Dérapage ou perte de maîtrise	Genève	Nuit	Beau	Autres	6.149038176803905	46.21884318789877	Sèche	Route principale	1899-12-30 05:00:00	Dimanche	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500493.0	1119419.0	2015	6	28	Inattention et distraction	Manque d'attention momentané	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
2	7305	1625025.0	2015-07-20	Accident en quittant une route	Genève	Aurore / crépuscule	Beau	Avec blessés légers	6.147375897898308	46.21952593305314	Sèche	Route principale	1899-12-30 06:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2500366.0	1119497.0	2015	7	20	Inobservation de signaux ou de la signalisation 	Inobservation d'un signal	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
3	8497	1676166.0	2015-11-16	Accident en parquant	Genève	Inconnu	Autre	Autres	6.148198429160508	46.21927443331111	Autre	Autre	1899-12-30 20:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500429.0	1119468.0	2015	11	16	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
4	8776	1625712.0	2015-07-21	Dérapage ou perte de maîtrise	Genève	Jour	Beau	Avec blessés légers	6.145093307536462	46.22012957135295	Sèche	Route secondaire	1899-12-30 13:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500191.0	1119567.0	2015	7	21	Etat / intention du conducteur	Influence de l'alcool	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
5	10577	1617009.0	2015-07-01	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.138747382579093	46.222080947047004	Sèche	Route secondaire	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2499705.0	1119792.0	2015	7	1	Inattention et distraction	Manque d'attention momentané	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
6	11983	1649819.0	2015-09-17	Accident impliquant des piétons	Genève	Aurore / crépuscule	Couvert	Avec blessés graves	6.140003417046112	46.22159158339275	Humide	Route secondaire	1899-12-30 07:00:00	Jeudi	Non renseigné	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499801.0	1119736.0	2015	9	17	Influence / comportement du piéton	Traversée imprudente de la route (en marchant)	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
7	14811	1545479.0	2015-01-07	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Beau	Autres	6.138825347857567	46.22207284815215	Sèche	Route principale	1899-12-30 07:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2499711.0	1119791.0	2015	1	7	Cause inconnue	Cause inconnue	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
8	14902	1640653.0	2015-08-26	Accident par tamponnement	Genève	Jour	Beau	Autres	6.1485257869570855	46.21913422681015	Sèche	Route secondaire	1899-12-30 12:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500454.0	1119452.0	2015	8	26	Inattention et distraction	Manque d'attention momentané	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
9	15315	1620736.0	2015-07-09	Accident en traversant une route	Genève	Jour	Beau	Avec blessés légers	6.147308118493784	46.219651113119404	Sèche	Route principale	1899-12-30 19:00:00	Jeudi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500361.0	1119511.0	2015	7	9	Trafic de cycles et cyclomoteurs	Circulation en sens interdit (sur une piste ou bande cyclable, voie piétonne, etc.)	avenue de france	avenue de france	100	avenue de france	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
