	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	road_name
0	300	1647805.0	2015-09-12	Accident en parquant	Vernier	Nuit	Couvert	Autres	6.096656651232178	46.20435020540297	Sèche	Autre	1899-12-30 02:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2496424.0	1117876.0	2015	9	12	Autres mouvements dans la circulation	Marche arrière imprudente	Place du Lignon 6
2	658	1639088.0	2015-08-22	Accident en parquant	Carouge GE	Jour	Beau	Autres	6.134019712524428	46.184662488679066	Sèche	Autre	1899-12-30 17:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2499271.0	1115639.0	2015	8	22	Inattention et distraction	Manque d'attention momentané	Avenue Vibert
3	710	1567533.0	2015-01-01	Accident en parquant	Thônex	Inconnu	Autre	Autres	6.2070934419866	46.20556475780978	Autre	Autre	1899-12-30 16:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2504949.0	1117871.0	2015	1	1	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Chemin du Petit-Bel-Air 2
5	989	1599304.0	2015-05-16	Accident en parquant	Meyrin	Jour	Beau	Autres	6.081609435110207	46.233041462452675	Sèche	Autre	1899-12-30 08:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495318.0	1121085.0	2015	5	16	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue des Boudines 2-10
6	1047	1597311.0	2015-05-15	Dérapage ou perte de maîtrise	Meyrin	Jour	Beau	Autres	6.081284131208289	46.232569709341966	Sèche	Autre	1899-12-30 11:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2495292.0	1121033.0	2015	5	15	Inattention et distraction	Manque d'attention momentané	Unnamed Road
7	1208	1608208.0	2015-06-10	Accident par tamponnement	Genève	Jour	Beau	Autres	6.134102815720659	46.22927882344264	Sèche	Autre	1899-12-30 16:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499360.0	1120598.0	2015	6	10	Inattention et distraction	Manque d'attention momentané	Route des Morillons 4
8	1472	1598335.0	2015-05-16	Accident en parquant	Meyrin	Jour	Beau	Autres	6.083304882585528	46.232638973918206	Sèche	Autre	1899-12-30 14:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495448.0	1121038.0	2015	5	16	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Avenue de Mategnin 69-63
9	1517	1581669.0	2015-04-01	Accident en parquant	Vernier	Inconnu	Autre	Autres	6.0962798742099915	46.204390707888095	Autre	Autre	1899-12-30 08:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2496395.0	1117881.0	2015	4	1	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Place du Lignon 34
10	1754	1570896.0	2015-03-13	Accident par tamponnement	Genève	Aurore / crépuscule	Beau	Avec blessés légers	6.15017938747488	46.21772262331606	Sèche	Route principale	1899-12-30 06:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2500579.0	1119293.0	2015	3	13	Etat / intention du conducteur	Influence de l'alcool	Avenue de France
11	1755	1543726.0	2015-01-02	Accident en quittant une route	Genève	Jour	Beau	Autres	6.145670221975001	46.195322933317044	Sèche	Route secondaire	1899-12-30 10:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2500190.0	1116809.0	2015	1	2	Refus d'accorder la priorité	En obliquant à droite devant un véhicule dans la même direction	Boulevard du Pont-d'Arve 19-9
12	1756	1567497.0	2015-03-05	Accident en traversant une route	Meyrin	Jour	Beau	Avec blessés légers	6.068601278988235	46.223446499898884	Sèche	Route secondaire	1899-12-30 12:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2494296.0	1120036.0	2015	3	5	Trafic de cycles et cyclomoteurs	Emprunter un passage pour piétons pour traverser la route	Rue Emma-Kammacher 2-6
13	1757	1550659.0	2015-01-19	Accident en parquant	Genève	Nuit	Pluie	Autres	6.145644042018138	46.21277647481761	Mouillée	Route secondaire	1899-12-30 20:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500220.0	1118749.0	2015	1	19	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue de la Navigation
14	1758	1558119.0	2015-02-09	Accident par tamponnement	Genève	Jour	Beau	Avec blessés légers	6.148250111973696	46.19634212451274	Sèche	Route secondaire	1899-12-30 15:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500391.0	1116919.0	2015	2	9	Etat / intention du conducteur	Influence de l'alcool	Boulevard de la Tour 14
15	1759	1550442.0	2015-01-17	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Vernier	Aurore / crépuscule	Couvert	Avec blessés légers	6.085665098627176	46.216463776754466	Sèche	Route secondaire	1899-12-30 17:00:00	Samedi	Non renseigné	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2495599.0	1119237.0	2015	1	17	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	Route de Vernier
16	1761	1557417.0	2015-02-07	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Meyrin	Jour	Couvert	Autres	6.0520132863085365	46.234472210604714	Sèche	Route principale	1899-12-30 12:00:00	Samedi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2493038.0	1121284.0	2015	2	7	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	Route de Meyrin 388-392
17	1762	1602490.0	2015-05-26	Accident en parquant	Carouge GE	Jour	Autre	Autres	6.141284963313866	46.18580792128958	Autre	Route secondaire	1899-12-30 08:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499834.0	1115757.0	2015	5	26	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue de la Filature 23-13
18	1763	1604599.0	2015-06-02	Accident par tamponnement	Le Grand-Saconnex	Jour	Beau	Avec blessés légers	6.1241271508860375	46.22579825957239	Sèche	Route secondaire	1899-12-30 12:00:00	Mardi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2498584.0	1120224.0	2015	6	2	Inattention et distraction	Manque d'attention momentané	Chemin Moïse-Duboule 18
19	1764	1598156.0	2015-05-17	Dérapage ou perte de maîtrise	Petit-Lancy	Jour	Beau	Avec blessés légers	6.110581924174056	46.19126255730876	Sèche	Route secondaire	1899-12-30 18:00:00	Dimanche	A l'intérieur d'une localité	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2497474.0	1116403.0	2015	5	17	Inattention et distraction	Manque d'attention momentané	Avenue des Morgines 27-17
20	1912	1609515.0	2015-06-13	Accident en parquant	Vernier	Jour	Beau	Autres	6.109728744277331	46.21982665038436	Sèche	Route secondaire	1899-12-30 12:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2497462.0	1119579.0	2015	6	13	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	Rue François-Durafour 17
21	1913	1599921.0	2015-05-21	Accident en quittant une route	Carouge GE	Jour	Beau	Avec blessés graves	6.150748169788837	46.18440491544752	Sèche	Route secondaire	1899-12-30 17:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500562.0	1115589.0	2015	5	21	Autres mouvements dans la circulation	Demi-tour imprudent	Route de Veyrier 53-51
22	1914	1605667.0	2015-06-04	Accident par tamponnement	Meyrin	Jour	Beau	Autres	6.086900501546105	46.22620428189178	Sèche	Route principale	1899-12-30 18:00:00	Jeudi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2495713.0	1120318.0	2015	6	4	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	Avenue de Mategnin 5
23	1915	1597797.0	2015-05-16	Accident par tamponnement	Conches	Jour	Beau	Autres	6.1908409198080925	46.19611054031064	Sèche	Route principale	1899-12-30 14:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2503678.0	1116840.0	2015	5	16	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	Rue de Chêne-Bougeries 32-36
24	1916	1585224.0	2015-04-16	Accident par tamponnement	Meyrin	Jour	Beau	Avec blessés graves	6.070055751443068	46.23570004525816	Sèche	Route principale	1899-12-30 12:00:00	Jeudi	Non renseigné	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2494432.0	1121396.0	2015	4	16	Inattention et distraction	Distraction par le maniement d'appareils électroniques (système de navigation, radio-émetteur, téléviseur, radio / cassettes / CD)	Avenue Louis-Rendu
25	1917	1653027.0	2015-09-25	Accident en traversant une route	Genève	Jour	Beau	Avec blessés légers	6.151876081961602	46.215033939839785	Sèche	Route principale	1899-12-30 08:00:00	Vendredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500705.0	1118992.0	2015	9	25	Trafic de cycles et cyclomoteurs	Emprunter un passage pour piétons pour traverser la route	Quai Wilson
26	1918	1633480.0	2015-08-09	Collision frontale	Genève	Nuit	Couvert	Avec blessés légers	6.14891194743333	46.19848193876585	Sèche	Route secondaire	1899-12-30 01:00:00	Dimanche	A l'intérieur d'une localité	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2500446.0	1117156.0	2015	8	9	Etat / intention du conducteur	Influence de l'alcool	Place des Casemates
