	road_name
0	Chemin des Sports
1	Boulevard Georges-Favon 27-23
2	Rue de Carouge 43-37
3	Route d'Hermance
4	E62
5	Rue de Varembé 9-17
6	Chemin du Relai 5-1
7	Route du Nant-d'Avril 40-56
8	Route de Soral
9	Route de Saint-Julien 23-7
10	Avenue de Feuillasse
11	Boulevard du Pont-d'Arve 49
12	E62
13	Quai Wilson
14	Rue des Alpes
15	Route de Vernier
16	Rue François-Versonnex 8
17	:ERROR STATUS: NOT_FOUND
18	Chemin Auguste-Vilbert 1-5
19	Chemin de Beau-Soleil 26-36
20	Rue Voltaire 12-18
21	Avenue de Frontenex 32
22	Chemin de la Motte
23	Chemin des Corbillettes 33
24	Avenue de Châtelaine 46-50
25	Route de l'Aéroport 10
26	Route de l'Uche
27	Route de Collex 17-15
28	Route de Saint-Georges
29	Route de Mon-Idée
30	Avenue Henri-Dunant
31	Rue de Contamines 21-17
32	Chemin de Moillebin
33	Rue de Monthoux 3
34	Route Blanche
35	Route des Hospitaliers
36	Avenue Louis-Casaï 56-58
37	Av. Cardinal-Mermillod 21-11
38	Boulevard de la Cluse
39	Chemin Edouard-Sarasin
40	Chemin de Grange-Canal
41	Avenue Louis-Casaï 26-30
42	:ERROR STATUS: NOT_FOUND
43	Rue des Moulins 34
44	Avenue Eugène Empeyta 41-31
45	Rue du Jeu-de-l'Arc 7
46	Rue de Vermont 46-52
47	Boulevard du Pont-d'Arve 39-31
48	Chemin du Grand-Champ 3
49	Rue du Vieux-Moulin 2
50	Rue François-Dussaud
51	Rue des Pavillons 4-6
52	Rue Jean-Simonet 3
53	Chemin Louis-Hubert 4-2
54	Rue du Conseil-Général
55	Rue des Alpes
56	Rue de Lyon 73-69
57	Route de Base
58	Rue De-Grenus
59	Route de Chêne-Bougeries
60	Veyrier
61	Quai de Cologny 4-3
62	Quai Gustave-Ador
63	Chemin Edouard-Sarasin 6
64	Rue Agasse 37-7
65	Avenue de Thônex
66	Rue de Lyon 16-22
67	Rue de Lyon 32-42
68	Rue de Contamines 15-9
69	Route de Florissant 27
70	Quai du Mont-Blanc 19
71	Rue des Vernes 26-28
72	Avenue des Communes-Réunies 7
73	Route de Thonon 215-201
74	Avenue du Lignon 14
75	Tunnel de Vernier
76	Route de Meyrin
77	Unnamed Road
78	Champel
79	Rue Pécolat 5
80	Avenue de France 17
81	Quai du Général-Guisan 28
82	Route des Jeunes
83	Rue de Carouge 73-69
84	Rue Barton
85	Rue de Genève 26-40
86	Rue Hans Wilsdorf 4-1
87	Quai Charles-Page
88	Avenue de la Grenade 16-26
89	Chemin de la Fourrière
90	Rue du Rhône 35
91	Rue de Montbrillant
92	Rue Vautier 25-1
93	Rue de Genève 75-67
94	Route de Saint-Julien 74-76
95	Route de Ferney 189-187
96	1
97	Avenue de la Paix
98	Quai Gustave-Ador 56
99	Rue des Pâquis 28-50
100	Pâquis-Nations
101	Rue Alcide-Jentzer 15-9
102	Rue Dancet 12-20
103	Rue du Comte-Géraud 7-1
104	Rue Charles-Rosselet 2-10
105	Rue des Voisins 14-20
106	Route des Jeunes 105-93
107	Rue Hoffmann
108	Vernier
109	Rue de la Servette 3-1
110	Avenue William-Favre 32-40
111	Avenue des Communes-Réunies 16
112	Rue de Chêne-Bougeries 38-42
113	Route de Mon-Idée
114	Route du Mandement 404
115	Avenue Bois-de-la-Chapelle 9-11
116	Chemin des Esserts
117	Avenue Tronchet 3-1
118	Route de Malagnou 30-24
119	Rue Jean-Dassier 17-11
120	Rue Jean-Simonet
121	Avenue d'Aïre
122	Avenue du Curé Baud
123	Boulevard Helvétique 31-25
124	Avenue du Vieux-Bourg 9
125	Chemin des Batailles
126	Rue Monnier 4-6
127	Vernier
128	Unnamed Road
129	Route de Vandœuvres 67-61
130	Rue du Rhône 94
131	A1a
132	Rue du Mont-Blanc 6-14
133	Chemin de la Montagne 89-87
134	Avenue Krieg
135	Route d'Hermance 461
136	Route du Bout-du-Monde
137	Route de Sauverny 59
138	Route de Vernier
139	Rue de Genève 6-18
140	Unnamed Road
141	Avenue Auguste-François-Dubois 37-31
142	:ERROR STATUS: NOT_FOUND
143	Pregny-Chambésy
144	Tranchée Couverte d'Arare
145	Place des Eaux-Vives
146	Chemin des Coquelicots 29-23
147	Avenue Henri-Golay 27-21
148	Chemin des Graviers 32
149	Route des Romelles
150	E62
151	Route de Meyrin
152	Rue des Bains 22-26
153	Rue Jacques-Grosselin 9-1
154	Place de l'Octroi
155	Rue de Chantepoulet 25-15
156	Route H.-C.-Forestier 12
157	Chemin des Batailles 22
158	Rampe du Pont-Rouge
159	Route de Chevrens
160	Route de Colovrex
161	Route Blanche
162	Chemin de la Seymaz 44-52
163	Rue Charles-Galland 12-18
164	Rue des Bossons
165	Quai du Général-Guisan 22-26
166	Rue de la Prulay 11-1
167	Rue De-Grenus
168	Route de Mon-Idée
169	Route de Chancy 22
170	Unnamed Road
171	Route de l'Aéroport 10
172	Route de Choulex 2-30
173	Unnamed Road
174	A1a
175	Rue François d'Ivernois
176	Chemin François-Lehmann 24-26
177	Route de Florissant
178	Rue Sismondi 14
179	Rue des Vollandes 31-13
180	Quai du Cheval-Blanc 5-11
181	Route des Fayards
182	E62
183	Route de Thonon
184	Route de Lausanne 284
185	Rue Virginio-Malnati 2-16
186	Chemin des Batailles 22
187	Rue du Lac 4-10
188	Route de Thonon
189	Route du Grand-Lancy 87
190	E62
191	Rue des Boudines 2-10
192	Rue de la Fontenette 23-9
193	Route du Val-d'Arve 92
194	Place des Charmilles
195	Rue du Vieux-Billard 9-5
196	Rue du Mont-Blanc 6-14
197	Rue de Chantepoulet 13-1
198	Rue Hugo-De-Senger 7-1
199	Rue Caroline 41-29
200	Chemin de Joinville
201	Pâquis-Nations
202	Route de Collex
203	Rue François-Bellot 5-1
204	E62
205	Rue de Berne 29-21
206	Avenue Adrien-Jeandin
207	Quai du Mont-Blanc 5
208	Avenue de Mategnin
209	:ERROR STATUS: NOT_FOUND
210	Route de Saint-Julien 77-75
211	Rue de Genève 26-40
212	Route de Saint-Julien
213	Rue des Bossons 23
214	Route de Peney-Dessus
215	Quai du Mont-Blanc 13
216	Quai du Mont-Blanc 19
217	E62
218	Route des Hospitaliers 112
219	Route de Jussy 15
220	Vernier
221	Quai Gustave-Ador
222	Boulevard de Saint-Georges 18-28
223	Chemin de Beau-Soleil 1
224	Pâquis-Nations
225	Boulevard Georges-Favon 3-1
226	Rue Cité-de-la-Corderie 10
227	Avenue Pictet-de-Rochemont 14
228	Rue François-Versonnex 8
229	:ERROR STATUS: NOT_FOUND
230	Avenue de France
231	Route du Grand-Lancy
232	Route de Saint-Julien 70
233	Rue Ferdinand-Hodler
234	Quai Gustave-Ador 18
235	Quai des Vernets 8
236	Rue de Montchoisy 19-17
237	Route du Creux-du-Loup
238	Rue de Sous-Terre
239	Rue Ami-Lévrier 15-9
240	Route de Covéry
241	Quai du Général-Guisan 22-26
242	Rue de Moillebeau
243	Rue Pestalozzi 17-11
244	Route de Pré-Bois
245	Pâquis-Nations
246	E62
247	Route de Meyrin
248	Rue des Lattes
249	Chemin des Falquets
250	Route des Acacias 38-30
251	Rue de la Servette 3-1
252	Rue de Bourgogne
253	Avenue du Plateau 35-25
254	Route Douanière
255	Rue de Lyon 24-30
256	Chemin des Fraisiers 37-23
257	Grottes - Saint-Gervais
258	Rue François-Versonnex 8
259	Route de Sézegnin 75-63
260	Rue Lect
261	Route de Saint-Julien
262	Route de Choulex
263	Route de Vernier 137
264	Route de Chancy
265	Route de Meyrin
266	Route de Thonon 11
267	Route de Ferney
268	Centre-Plainpalais-Acacias
269	Rue du Vieux-Billard 3
270	Route de Jussy 71
271	Square Clair-Matin 5-3
272	Plateau de Frontenex
273	Avenue de Champel 45-49
274	Rue Voltaire 20-26
275	Rue de Bourgogne
276	Chemin Bizot 4
277	Geneva
278	Rue Camille-Martin 16-20
279	Rue des Bossons 21
280	Rue de Lyon 67-61
281	Rue du Grand-Bureau 37-21
282	Route du Creux-de-Boisset
283	Avenue de Châtelaine 79-71
284	Rue du Mandement
285	Route de Saint-Julien 289
286	Boulevard des Philosophes
287	Avenue Soret 6-10
288	Rue De-Candolle 5
289	Route de Pré-Bois 29
290	Rue Michel-Servet
291	Rue de Villereuse
292	Route de l'Aéroport
293	Quai du Mont-Blanc 5
294	Rue des Battoirs 9
295	Route de Pré-Bois
296	Route de Bellebouche
297	Rue François-Perréard
298	Quai Ernest-Ansermet
299	Unnamed Road
300	Chemin du Moulin des Frères
301	Chemin Terroux
302	Rue Royaume 6-14
303	Chemin de l'Impératrice
304	Vernier
305	Route de Saint-Julien 70
306	Route de Chancy 76
307	Rue du 31 Décembre 59-49
308	Rue Philippe-Plantamour 6-14
309	Chemin de la Salésienne 8
310	Avenue Ernest-Pictet 40-38
311	Pâquis-Nations
312	Route d'Aire-la-Ville 219
313	Rue de Montbrillant 5-1
314	Avenue de Mategnin
315	Quai de Cologny
316	A1a
317	Route de Meyrin
318	Route de Saint-Julien
319	Rue des Deux-Ponts 26-32
320	Rue Sonnex
321	Avenue de France
322	Route du Nant-d'Avril
323	Quai Gustave-Ador
324	Pont des Acacias
325	Route des Acacias 49
326	Rue de la Servette 25-11
327	Unnamed Road
328	Unnamed Road
329	Quai du Général-Guisan 28
330	Quai du Général-Guisan 34
331	Route de Covéry
332	Square Clair-Matin
333	Rue Ferrier 2-12
334	Tranchée Couverte d'Arare
335	E62
336	Unnamed Road
337	Route de l'Etraz 100-128
338	Route de Suisse 77-71
339	Rue Sismondi 14
340	Rue Ami-Lullin
341	Rue de la Servette 3-1
342	Rue Liotard 37-31
343	Place de Montbrillant 17
344	Centre-Plainpalais-Acacias
345	Rampe de Cologny 3-1
346	Chemin Barde 1-4
347	Centre-Plainpalais-Acacias
348	Route du Nant-d'Avril 22
349	Avenue de Beau-Séjour 6-8
350	Rue Henri-Blanvalet 5-1
351	Rue des Racettes
352	Chemin Dami 8
353	Rue Saint-Joseph 26-42
354	Rue Louis-Favre 12-14
355	Avenue du Lignon
356	Avenue de Thônex 7-5
357	Place De-Grenus
358	Rue de Carouge 73-69
359	Avenue des Communes-Réunies 8
360	Route de Meyrin 388-392
361	Chemin de la Caroline 17-15
362	Rue du Rhône 112
363	Avenue Vibert
364	Avenue Bois-de-la-Chapelle
365	Rue Hoffmann 5-3
366	Quai du Général-Guisan 14
367	Route J.-J.-Rigaud 12
368	Rue du Stand 25-17
369	:ERROR STATUS: NOT_FOUND
370	Route de Saint-Julien
371	Route de Saint-Julien 70
372	Route du Nant-d'Avril 40-56
373	Rue de Genève
374	Rue Dancet 2-10
375	Route du Grand-Lancy 99
376	Route de Ferney
377	Tranchée Couverte d'Arare
378	E62
379	Rue du Cendrier 19-15
380	Chemin Daniel-Ihly 8-12
381	Avenue de la Roseraie
382	Rue du Colombier 10-12
383	Avenue du Curé Baud
384	E62
385	Route de Malagnou
386	E62
387	Chemin de la Savonnière
388	Rue de la Prairie
389	Rue des Mouettes 7
390	Rue du Mont-Blanc
391	Rue de Richemont 21-13
392	Route du Bois-de-Bay
