	NOM_VOIE	TJOM	TJM	DISPONIBILITE	DATEDT	NOM_POINT_DE_MESURE	E	N
0	Rue de Chêne-Bougeries	8359.0	8360.0	2 mois par an	2016-10-12 10:04:52	Chêne-Bougeries / Montagne	2503566.98	1116940.55
1	Avenue de Thônex	4539.0	3961.0	2 mois par an	2016-10-12 10:04:52	Thônex / Genève	2504307.66	1116431.69
3	Rue de Genève	5320.0	5487.0	2 mois par an	2016-10-12 10:04:52	Genève / Thônex	2504296.99	1116552.65
5	Rue de Lausanne	6748.0	6533.0	2 mois par an	2016-10-12 10:04:51	Lausanne / Dentand	2500440.39	1119323.56
6	Avenue Giuseppe- MOTTA	5922.0	5299.0	365 jrs/an	2016-10-12 10:04:51	"Motta / Pré-Cartelier
r"	2499163.13	1119256.01
8	Avenue du Mail	12398.0	12070.0	2 mois par an	2016-10-12 10:04:50	Mail / Patru	2499735.73	1117029.56
9	Boulevard Georges- FAVON	14695.0	14100.0	2 mois par an	2016-10-12 10:04:50	Georges-Favon / Synagogue	2499783.73	1117597.27
11	Rue des Terreaux-du-Temple	10949.0	10545.0	2 mois par an	2016-10-12 10:06:35	Terreaux-du-Temple	2499819.58	1118076.04
12	Quai Ernest- ANSERMET	4947.0	4603.0	2 mois par an	2016-10-12 10:04:50	Ansermet / Deux-Ponts	2498932.19	1117312.1
13	Pont des Acacias	12967.0	12113.0	365 jrs/an	2016-10-12 10:04:49	Acacias (Pont)	2499705.11	1116593.45
15	Pont de la Fontenette	8768.0	8112.0	365 jrs/an	2016-10-12 10:04:49	Fontenette (pont)	2500250.74	1115871.71
17	Pont  BUTIN	26989.0	24522.0	365 jrs/an	2016-10-12 10:05:22.000001	* Butin (Pont, T. 152)	2497499.59	1117690.08
18	Quai  TURRETTINI	1718.0	1602.0	2 mois par an	2016-10-12 10:05:47	Turretini	2499884.5	1117951.84
19	Boulevard James- FAZY	13481.0	12983.0	2 mois par an	2016-10-12 10:05:46	Fazy / Bautte	2499767.08	1118159.82
20	Rue  VOLTAIRE	10883.0	10164.0	2 mois par an	2016-10-12 10:05:46	Voltaire / Fazy	2499717.75	1118134.88
22		16299.0	15597.0	2 mois par an	2016-10-12 10:05:45	Servette / Malatrex	2499801.13	1118299.33
24	Rue de Lyon	9138.0	8727.0	2 mois par an	2016-10-12 10:05:45	Lyon / Tronchin	2499218.92	1118319.44
27	Rue de la Servette	7703.0	7594.0	365 jrs/an	2016-10-12 10:05:44	Servette / Lyon	2499684.14	1118396.1
29	Avenue de France	7303.0	6946.0	365 jrs/an	2016-10-12 10:05:43	France / Montbrillant	2499845.81	1119692.14
34	Pont du Mont-Blanc	34580.0	32942.0	365 jrs/an	2016-10-12 10:05:40	Mont-Blanc (pont)	2500485.86	1117906.15
36	 Ponts de l' Ile	2561.0	2286.0	365 jrs/an	2016-10-12 10:05:09	Île	2499979.51	1117956.66
38	Pont de la Coulouvrenière	12683.0	12364.0	365 jrs/an	2016-10-12 10:05:08	"Coulouvrenière (pont)
"	2499764.12	1117830.71
59	Avenue de la Paix	2849.0	2568.0	2 mois par an	2016-10-12 10:06:42	Paix / Nations Est	2499818.6	1119870.13
63	Route de Veyrier	6621.0	6015.0	2 mois par an	2016-10-12 10:06:40.000001	Veyrier / Pont Val-d'Arve	2500698.21	1115521.17
67	Route du Val-d'Arve	12875.0	11643.0	2 mois par an	2016-10-12 10:06:39	Val-d'Arve / Veyrier	2500665.47	1115391.66
163	Route de Saint-Julien	14582.0	13495.0	365 jrs/an	2016-10-12 10:04:55	Saint-Julien / Chapelle	2498980.46	1114569.58
165	Rue de Chantepoulet	16589.0	16031.0	2 mois par an	2016-10-12 10:05:42	Chantepoulet	2500036.17	1118246.85
